2021-11-10 14:56:53.687,write _SPaT (6081)
2021-11-10 14:56:53.854,write _SPaT (6081)
2021-11-10 14:56:54.044,write _SPaT (6081)
2021-11-10 14:56:54.107,write _MAP (93490)
2021-11-10 14:56:54.337,write _SPaT (6081)
2021-11-10 14:56:54.456,write _RTCM (173)
2021-11-10 14:56:54.760,write _SPaT (6081)
2021-11-10 14:56:54.779,write _SPaT (6081)
2021-11-10 14:56:54.874,write _SPaT (6079)
2021-11-10 14:56:55.185,write _MAP (93490)
2021-11-10 14:56:55.186,write _SPaT (6079)
2021-11-10 14:56:55.339,write _SPaT (6079)
2021-11-10 14:56:55.476,write _RTCM (1161)
2021-11-10 14:56:55.496,write _SPaT (6079)
2021-11-10 14:56:55.718,write _SPaT (6079)
2021-11-10 14:56:55.884,write _SPaT (6067)
2021-11-10 14:56:55.954,write _MAP (93490)
2021-11-10 14:56:56.084,write _SPaT (6067)
2021-11-10 14:56:56.354,write _SPaT (6067)
2021-11-10 14:56:56.474,write _RTCM (971)
2021-11-10 14:56:56.751,write _SPaT (6067)
2021-11-10 14:56:56.849,write _SPaT (6067)
2021-11-10 14:56:56.940,write _TIM (2064)
2021-11-10 14:56:56.966,write _SPaT (6067)
2021-11-10 14:56:57.146,write _SPaT (6067)
2021-11-10 14:56:57.360,write _SPaT (6067)
2021-11-10 14:56:57.415,write _MAP (93490)
2021-11-10 14:56:57.473,write _RTCM (891)
2021-11-10 14:56:57.725,write _SPaT (6067)
2021-11-10 14:56:57.919,write _TIM (2064)
2021-11-10 14:56:57.949,write _SPaT (6067)
2021-11-10 14:56:58.016,write _SPaT (6065)
2021-11-10 14:56:58.339,write _MAP (93490)
2021-11-10 14:56:58.339,write _SPaT (6065)
2021-11-10 14:56:58.353,write _SPaT (6065)
2021-11-10 14:56:58.461,write _RTCM (971)
2021-11-10 14:56:58.994,write _TIM (2064)
2021-11-10 14:56:59.062,write _SPaT (6065)
2021-11-10 14:56:59.063,write _SPaT (6065)
2021-11-10 14:56:59.072,write _SPaT (6058)
2021-11-10 14:56:59.106,write _SPaT (6058)
2021-11-10 14:56:59.166,write _MAP (93490)
2021-11-10 14:56:59.367,write _SPaT (6055)
2021-11-10 14:56:59.461,write _RTCM (971)
2021-11-10 14:56:59.569,write _SPaT (6056)
2021-11-10 14:56:59.755,write _SPaT (6056)
2021-11-10 14:56:59.983,write _SPaT (6095)
2021-11-10 14:56:59.997,write _TIM (2064)
2021-11-10 14:57:00.029,write _MAP (93490)
2021-11-10 14:57:00.132,write _SPaT (6095)
2021-11-10 14:57:00.380,write _SPaT (6096)
2021-11-10 14:57:00.495,write _RTCM (951)
2021-11-10 14:57:00.586,write _SPaT (6096)
2021-11-10 14:57:00.770,write _SPaT (6096)
2021-11-10 14:57:00.936,write _SPaT (6096)
2021-11-10 14:57:00.975,write _MAP (93490)
2021-11-10 14:57:01.022,write _TIM (2064)
2021-11-10 14:57:01.162,write _SPaT (6096)
2021-11-10 14:57:01.362,write _SPaT (6096)
2021-11-10 14:57:01.461,write _RTCM (891)
2021-11-10 14:57:01.849,write _SPaT (6096)
2021-11-10 14:57:02.126,write _SPaT (6096)
2021-11-10 14:57:02.126,write _SPaT (6095)
2021-11-10 14:57:02.126,write _TIM (2064)
2021-11-10 14:57:02.143,write _SPaT (6095)
2021-11-10 14:57:02.214,write _MAP (93490)
2021-11-10 14:57:02.360,write _SPaT (6095)
2021-11-10 14:57:02.465,write _RTCM (891)
2021-11-10 14:57:02.571,write _SPaT (6095)
2021-11-10 14:57:02.745,write _SPaT (6095)
2021-11-10 14:57:03.021,write _MAP (93490)
2021-11-10 14:57:03.036,write _TIM (2064)
2021-11-10 14:57:03.036,write _SPaT (6095)
2021-11-10 14:57:03.138,write _SPaT (6095)
2021-11-10 14:57:03.357,write _SPaT (6095)
2021-11-10 14:57:03.471,write _RTCM (891)
2021-11-10 14:57:03.559,write _SPaT (6095)
2021-11-10 14:57:03.767,write _SPaT (6095)
2021-11-10 14:57:04.131,write _TIM (2064)
2021-11-10 14:57:04.162,write _MAP (93490)
2021-11-10 14:57:04.162,write _SPaT (6095)
2021-11-10 14:57:04.162,write _SPaT (6095)
2021-11-10 14:57:04.363,write _SPaT (6095)
2021-11-10 14:57:04.444,write _RTCM (173)
2021-11-10 14:57:04.576,write _SPaT (6095)
